zaak,opdrachtgever,debiteur_type,fase_basenet,hoofdsom,betaald,open_ruw,rente,voorstel_stap,toelichting,vlaggen
IN100385,Incassocenter B.V.,b2b,Vordering betwist,324.28,0.00,324.28,commercial,Verweer beantwoorden,,verweer-vinkje zetten
IN100387,Incassocenter B.V.,b2b,14-dagen brief,423.22,0.00,423.22,commercial,14-dagenbrief,,
IN100388,Incassocenter B.V.,b2b,B2C 4e sommatie verstuurd,289.43,0.00,289.43,commercial,Voorstel dagvaarding,,
IN100389,Incassocenter B.V.,b2c,14-dagen brief,271.10,0.00,271.10,statutory,14-dagenbrief,,
IN100392,Incassocenter B.V.,b2c,14-dagen brief,243.43,0.00,243.43,statutory,14-dagenbrief,,creditfactuur-rente
IN100396,Incassocenter B.V.,b2b,Vordering betwist,210.31,0.00,210.31,commercial,Verweer beantwoorden,,verweer-vinkje zetten
IN100397,Incassocenter B.V.,b2c,14-dagen brief,209.89,0.00,209.89,statutory,14-dagenbrief,,
IN100398,Incassocenter B.V.,b2c,14-dagen brief,186.32,0.00,186.32,statutory,14-dagenbrief,,
IN100399,Incassocenter B.V.,b2b,B2C 4e sommatie verstuurd,182.71,0.00,182.71,commercial,Voorstel dagvaarding,,
IN100401,Incassocenter B.V.,b2b,B2C 4e sommatie verstuurd,167.51,0.00,167.51,commercial,Voorstel dagvaarding,,
IN100402,COLLECT 1 B.V.,b2b,B2C 4e sommatie verstuurd,4477.00,0.00,4477.00,commercial,Voorstel dagvaarding,,
IN100408,Incassocenter B.V.,b2b,Bijhouden regelingen,900.30,0.00,900.30,commercial,BEOORDELEN: regeling gestopt/afgelopen,,
IN100409,INC Zakelijk B.V.,b2b,Vordering betwist,0.00,0.00,0.00,commercial,UITZOEKEN,geen vordering-regels in Luxis,verweer-vinkje zetten
IN100410,LegalWork B.V.,b2b,Procederen?,18311.84,0.00,18311.84,commercial,Voorstel dagvaarding,,
IN100414,SYN Finance 1 B.V.,b2b,Eng 4e sommatie verstuurd,305.00,0.00,305.00,commercial,Voorstel dagvaarding,,
